board_name,url
Arbor  Formula,https://thegoodride.com/snowboard-reviews/arbor-formula-2016-2021-snowboard-review/
Arbor Wasteland Camber,https://thegoodride.com/snowboard-reviews/arbor-wasteland-camber-2021-snowboard-review/
Arbor Westmark Camber,https://thegoodride.com/snowboard-reviews/arbor-westmark-camber-snowboard-review/
Bataleon Evil Twin,https://thegoodride.com/snowboard-reviews/bataleon-evil-twin-2020-snowboard-review/
Bataleon  Goliath,https://thegoodride.com/snowboard-reviews/bataleon-goliath-2020-snowboard-review/
Bataleon Party Wave,https://thegoodride.com/snowboard-reviews/bataleon-party-wave-2020-snowboard-review/
Bataleon Surfer LTD,https://thegoodride.com/snowboard-reviews/bataleon-surfer-ltd-2020-snowboard-review/
Burton 3D Kilroy Camber,https://thegoodride.com/snowboard-reviews/burton-3d-kilroy-camber-2021-snowboard-review/
Burton Antler,https://thegoodride.com/snowboard-reviews/burton-antler-2017-purepop-camber-snowboard-review/
Burton Big Gulp,https://thegoodride.com/snowboard-reviews/burton-big-gulp-2021-snowboard-review/
Burton Blunt,https://thegoodride.com/snowboard-reviews/burton-blunt-2010-2017-snowboard-review/
Burton Branch Manager,https://thegoodride.com/snowboard-reviews/burton-branch-manager-2017-snowboard-review/
Burton CK Nug,https://thegoodride.com/snowboard-reviews/burton-ck-nug-2017-snowboard-review/
Burton  Clash,https://thegoodride.com/snowboard-reviews/burton-clash-2010-2017-snowboard-review/
Burton Con Artist,https://thegoodride.com/snowboard-reviews/burton-con-artist-2018-snowboard-review/
Burton Custom,https://thegoodride.com/snowboard-reviews/burton-custom-2010-2020-snowboard-review/
Burton Custom Flying V,https://thegoodride.com/snowboard-reviews/burton-custom-flying-v-2010-2018-snowboard-review/
Burton Custom Twin,https://thegoodride.com/snowboard-reviews/burton-custom-twin-2017-snowboard-review/
Burton Custom Twin Flying V,https://thegoodride.com/snowboard-reviews/burton-custom-twin-flying-v-2015-2017-snowboard-review/
Burton Custom X,https://thegoodride.com/snowboard-reviews/burton-custom-x-2010-2017-snowboard-review/
Alloy B-Bomb,https://thegoodride.com/snowboard-reviews/alloy-b-bomb-2016-2020-snowboard-review/
Alloy B-Bomb GT,https://thegoodride.com/snowboard-reviews/alloy-b-bomb-gt-2020-snowboard-review/
Alloy D.O Carbon,https://thegoodride.com/snowboard-reviews/alloy-d-o-carbon-2019-2020-snowboard-review/
