board_name,url
Burton Sensei,https://thegoodride.com/snowboard-reviews/burton-sensei-2021-snowboard-review
Burton Skeleton Key,https://thegoodride.com/snowboard-reviews/burton-skeleton-key-2017-2020-snowboard-review
Burton Speed Date,https://thegoodride.com/snowboard-reviews/burton-speed-date-2019-snowboard-review
Burton Straight Chuter,https://thegoodride.com/snowboard-reviews/burton-straight-chuter-2021-snowboard-review
Burton Stun Gun,https://thegoodride.com/snowboard-reviews/burton-stun-gun-2019-snowboard-review
Burton Super Bueno,https://thegoodride.com/snowboard-reviews/burton-super-bueno-2020-snowboard-review
Burton Trick Pilot,https://thegoodride.com/snowboard-reviews/burton-trick-pilot-2019-snowboard-review
Burton Trick Pony,https://thegoodride.com/snowboard-reviews/burton-trick-pony-2014-2018-snowboard-review
Burton Working Stiff,https://thegoodride.com/snowboard-reviews/burton-working-stiff-2018-snowboard-review
Capita Asymulator,https://thegoodride.com/snowboard-reviews/capita-asymulator-2020-snowboard-review
Capita Black Snowboard of Death,https://thegoodride.com/snowboard-reviews/capita-black-snowboard-of-death-2010-2020-review
Capita Charlie Slasher,https://thegoodride.com/snowboard-reviews/capita-charlie-slasher-2010-2017-snowboard-review
Capita  Defenders Of Awesome,https://thegoodride.com/snowboard-reviews/capita-defenders-of-awesome-2013-2020-snowboard-review
Capita Horrorscope,https://thegoodride.com/snowboard-reviews/capita-horrorscope-2017-2019-snowboard-review
Capita  Indoor Survival,https://thegoodride.com/snowboard-reviews/capita-indoor-survival-2010-2018-snowboard-review
Capita Kazu Kokubo Pro,https://thegoodride.com/snowboard-reviews/capita-kazu-kokubo-pro-2017-2019-snowboard-review
Capita Mercury,https://thegoodride.com/snowboard-reviews/capita-mercury-2016-2019-snowboard-review
Capita Navigator,https://thegoodride.com/snowboard-reviews/capita-navigator-2019-snowboard-review
Capita Outerspace Living,https://thegoodride.com/snowboard-reviews/capita-outerspace-living-2017-2020-snowboard-review
Capita Outsiders,https://thegoodride.com/snowboard-reviews/capita-outsiders-2014-2020-snowboard-review
