board_name,url,Overall Rating,Riding Style,Riding Level,Fits Boot size (US),Manufactured in,Shape,Camber Profile,Stance,Approx. Weight,Powder,Turning Experience,Carving,Speed,Uneven Terrain,Switch,Jumps,Jibbing,Pipe,year,gender,id,similar_boards
Burton Stun Gun,https://thegoodride.com/snowboard-reviews/burton-stun-gun-2019-snowboard-review,Liked it!,Alternative Freeride,Advanced - Expert,"8-10, 10-12",Austria,Tapered Directional,Directional Camber,Setback over 20mm,Feels Normal,Great,Great,Great,Good,Great,Average,Good,Poor,Good,['2019'],mens,xrRbV3VRAOSdOAEYUTkghaXR6o4=,"{'xrRbV3VRAOSdOAEYUTkghaXR6o4=': 0.0, 'e0ZZckm0F+Sr0QcOPh2yZ4ttDoQ=': 0.0, 'dkMJQNsVtIDS+UAF+tOqCXTITRc=': 0.11764705882352941, 'XrPMr7wBaWzwMQVC2YlqVTwcEjA=': 0.2222222222222222, '3RQHnfxz+wL4oAcFr5UUaz8JiGA=': 0.2222222222222222, 'AFSa7MwyfgdlgldRqv7S9FUBRGc=': 0.2222222222222222, 'e+fNaAgEjvW1VOk8EjwmzmD3IfM=': 0.2222222222222222, 'bfTDc0OjVMWAt3xMu6R+suoPIn0=': 0.3157894736842105, 'ozTApV05+1uPCYNU16Rf7q59ahQ=': 0.3157894736842105, 'Zi8UR3uC0CShtAq1bv5LOOSzc1k=': 0.3157894736842105}"
Burton Super Bueno,https://thegoodride.com/snowboard-reviews/burton-super-bueno-2020-snowboard-review,None,Freeride,Advanced - Expert,8-10,Austria,Tapered Directional,Directional Camber,Setback over 20mm,Feels Normal,Good,Great,Great,Great,Great,Average,Great,Poor,Good,['2020'],mens,P1I7FfjTkpvSRt/TnAKgfWEupGc=,"{'P1I7FfjTkpvSRt/TnAKgfWEupGc=': 0.0, 'yxxHUVjN8v7KAnvB5kH6oJLbW/s=': 0.11764705882352941, 'zyAA5JnKL/6dGGAjTuhfpM9gLtc=': 0.2222222222222222, 'j89ilKmtGI3C/pj56MKWvLnulmc=': 0.2222222222222222, 'IGWS3GAVSYC6QPSJWwj04JCs24Y=': 0.3157894736842105, 'ozTApV05+1uPCYNU16Rf7q59ahQ=': 0.3157894736842105, 'Zi8UR3uC0CShtAq1bv5LOOSzc1k=': 0.3157894736842105, 'h0/GmTP33QH9TLHk6Rx6UKPOL8Q=': 0.3157894736842105, 'bPzc+fIc1gzC68JLcK9LkqSJX2Y=': 0.3157894736842105, 'TReHh8CPHL+w9gJEnqe1WCmmUE0=': 0.3157894736842105}"
Burton Trick Pilot,https://thegoodride.com/snowboard-reviews/burton-trick-pilot-2019-snowboard-review,Liked it!,All Mountain Freestyle,Advanced - Expert,8-10,Austria,True Twin,Mostly Camber,Centered,Feels Normal,Average,Great,Great,Great,Good,Great,Great,Average,Good,['2019'],mens,CFQlF5LP2FlfEYmQMBq7Wz3WUP8=,"{'CFQlF5LP2FlfEYmQMBq7Wz3WUP8=': 0.0, '+cQrHQMjaWg6AOGFQMMXjCgSOaM=': 0.2222222222222222, 'T9ncv3gSEGfjgt3BIVRIgB6SzN4=': 0.3157894736842105, '5ZjPJBKE2ALONqMxJ0Jlt9VHWPw=': 0.3157894736842105, 'Wp0XcBAntqDR6YAloQZGUmyPYxE=': 0.4, 'loVDio1ZwN6xBVNwA7G3cGVI0wk=': 0.4, '33sNjGKEAN/rqxr9uU1zBaNNkWA=': 0.4, 'M66mNaXWfUteWrRK+R7/ller6nU=': 0.4, 'W6pr2vOiQUdy6g8bPWRElp4LIZM=': 0.4, 'I+Hj3agwlkzvnhh56gi5FfdO3io=': 0.4}"
Burton Trick Pony,https://thegoodride.com/snowboard-reviews/burton-trick-pony-2014-2018-snowboard-review,Liked it!,All Mountain,Intermediate - Expert,"10-12, > 12",Austria,Directional Twin,Hybrid Camber,Setback -12.5mm,Feels Light,Average,Good,Great,Great,Good,Great,Great,Average,Good,"['2014', '2018']",mens,nqp8cXKJfhOsoJ3UqzLR0uISBXI=,"{'nqp8cXKJfhOsoJ3UqzLR0uISBXI=': 0.0, 'GjwGvtwtV7WDbtT0vzuew9PyNEs=': 0.4, 'Fs4RoqVpy6xCIgB7OgblkB/N8Hk=': 0.47619047619047616, 'xcesV2C/AV6AO1EwXtMNXM6YbG8=': 0.47619047619047616, 'I+Hj3agwlkzvnhh56gi5FfdO3io=': 0.47619047619047616, 'zukeWNlT8pcKRCQPLE11iF42PPk=': 0.47619047619047616, 'Hn+F8IT3JLN4mnGepDA4mOVek1E=': 0.47619047619047616, 'hkyr6Px/mhAMELBQNS/Vn/D6q7c=': 0.47619047619047616, 'j6nQ4drYkt15h81E7uaONuZphu0=': 0.5454545454545454, 'IMWX7uJpHco1n3crL0FknFkPsMU=': 0.5454545454545454}"
Burton Working Stiff,https://thegoodride.com/snowboard-reviews/burton-working-stiff-2018-snowboard-review,Pretty Good,Alternative Freeride,Advanced - Expert,"8-10, 10-12",USA,Tapered Directional,Directional Camber,Setback over 20mm,Feels Normal,Great,Good,Good,Good,Great,Average,Good,Good,Good,['2018'],mens,LbAbOtHi4iqQjNPL/p+Y8z/2PE4=,"{'LbAbOtHi4iqQjNPL/p+Y8z/2PE4=': 0.0, 'YwV3PMhQRx3mctHcIW1D6gEHol4=': 0.3157894736842105, '3RQHnfxz+wL4oAcFr5UUaz8JiGA=': 0.3157894736842105, 'xrRbV3VRAOSdOAEYUTkghaXR6o4=': 0.3157894736842105, 'e0ZZckm0F+Sr0QcOPh2yZ4ttDoQ=': 0.3157894736842105, 'S1afr5cqKs5l1/pun6LciSqapqM=': 0.3157894736842105, 'C0R1Tv/LDO7IdLxvlIhxBQm8MwM=': 0.3157894736842105, 'ozTApV05+1uPCYNU16Rf7q59ahQ=': 0.4, 'dkMJQNsVtIDS+UAF+tOqCXTITRc=': 0.4, 'XrPMr7wBaWzwMQVC2YlqVTwcEjA=': 0.4}"
Capita Asymulator,https://thegoodride.com/snowboard-reviews/capita-asymulator-2020-snowboard-review,None,All Mountain Freestyle,Advanced - Expert,8-10,Austria at The Mothership,Asymmetrical Twin,Mostly Camber,Centered,Feels Light,Average,Great,Good,Good,Good,Excellent,Great,Good,Great,['2020'],mens,604kIVPVF2dHpG5RnikIG+PixrA=,"{'604kIVPVF2dHpG5RnikIG+PixrA=': 0.0, 'HD3h12loFFrKc+aPOSyeW7PJKyo=': 0.4, 'F51mJP4w8PrfKuOmQnyxWUZp96Q=': 0.4, 'deENUEAOrCpTwmXLA0PIJaqcT6k=': 0.4, 'j6nQ4drYkt15h81E7uaONuZphu0=': 0.47619047619047616, 'cFjsOaF3xJA0qgAOSLcvkpcbKBM=': 0.47619047619047616, 'PNCjCAAfEEL7xVQ8NoT+laKHLyI=': 0.47619047619047616, 'N58uWtCOG0BXvCfmzk+okl4wzUA=': 0.47619047619047616, 'ONFJIPfMhcLDVBM1VY0X0+ZEgzk=': 0.47619047619047616, 'sn7GRfATzHJXws7Iw5/Z2ScVbFU=': 0.47619047619047616}"
Capita Black Snowboard of Death,https://thegoodride.com/snowboard-reviews/capita-black-snowboard-of-death-2010-2020-review,Liked it!,Freeride,Advanced - Expert,"8-10, 10-12",Austria by The Mothership,Tapered Directional,Directional Camber,Setback over 20mm,Feels Light,Good,Great,Good,Great,Great,Good,Good,Average,Good,"['2010', '2020']",mens,JmJLq+7Wgaq3HyP0lFS2v+27MV4=,"{'JmJLq+7Wgaq3HyP0lFS2v+27MV4=': 0.0, 'TGVPB1+XRfwBjLeXc6eSlENngvQ=': 0.3157894736842105, '1g8gM29+/CCHCCS4g2xWxcRiS3o=': 0.3157894736842105, 'Zi8UR3uC0CShtAq1bv5LOOSzc1k=': 0.4, 'M+qx4fWPTwZn2wcfQAIRGO1kgsA=': 0.4, '8vpNwmfongnjfdV+L1Auevfh5tQ=': 0.4, '+76gNyVnBLBdJYe+pAXciVJ+kCk=': 0.47619047619047616, 'zyAA5JnKL/6dGGAjTuhfpM9gLtc=': 0.47619047619047616, 'XrPMr7wBaWzwMQVC2YlqVTwcEjA=': 0.47619047619047616, 'j89ilKmtGI3C/pj56MKWvLnulmc=': 0.47619047619047616}"
Capita Charlie Slasher,https://thegoodride.com/snowboard-reviews/capita-charlie-slasher-2010-2017-snowboard-review,Pretty Good,Powder,Advanced - Expert,"8-10, 10-12",Austria by The Mothership,Tapered Directional,Flat to Rocker,Setback -20mm,Feels Normal,Good,Average,Average,Good,Good,Average,Average,Poor,Average,"['2010', '2017']",mens,/gsMBISgDYzQSL52c8TRoBbUT6Q=,"{'/gsMBISgDYzQSL52c8TRoBbUT6Q=': 0.0, 'O2gw9XX9875zfYtki+7nvf0334U=': 0.4, 'g3s4TfE/USGgRtY7md2CaxqWy1M=': 0.4, 'xGarud1QzhGT3iw/OWIzMRhKmu8=': 0.47619047619047616, 'WiOTlon7CwEkLiNea/l2puYsxYI=': 0.47619047619047616, 'Lt7umCqb0nm8gS22Sh/VZvvl8iw=': 0.47619047619047616, '9QWAN2IJuULXB1TJNQW3RDjVHB8=': 0.47619047619047616, 'YksInANi4kZ2bslu5jvmQTyi/Ps=': 0.47619047619047616, 'd2drO//yZKf+09S4m7RJIKV0Shg=': 0.5454545454545454, 'S8gropbuB7uQlQw/PrXyvWcTOJc=': 0.5454545454545454}"
Capita  Defenders Of Awesome,https://thegoodride.com/snowboard-reviews/capita-defenders-of-awesome-2013-2020-snowboard-review,Pretty Good,All Mountain Freestyle,Advanced - Expert,"8-10, 10-12",Austria at The Mothership,True Twin,Hybrid Camber,Centered,Feels Normal,Poor,Average,Average,Good,Good,Great,Great,Average,Good,"['2013', '2020']",mens,Wc5Ag0UaRKZMFKwkhqkZx8yzORY=,"{'Wc5Ag0UaRKZMFKwkhqkZx8yzORY=': 0.0, 'sqphjI2avWlwoQUbeuZd0s8TX64=': 0.2222222222222222, '33sNjGKEAN/rqxr9uU1zBaNNkWA=': 0.4, 'LHvwYwK92Xu0IS670kZSpTsnGy0=': 0.4, 'T9ncv3gSEGfjgt3BIVRIgB6SzN4=': 0.4, 'BrCZuACc4eyZHjJaRGOUZ1TjYv4=': 0.4, 'UG9POLHOQBLhZQBEFCDw3a8uhtk=': 0.47619047619047616, 'fFczyzkgviWe5YRFFWSGnQN4h9w=': 0.47619047619047616, 'Wp0XcBAntqDR6YAloQZGUmyPYxE=': 0.47619047619047616, 'C/Epov/2U7hWKhhrdla5nq9sga8=': 0.47619047619047616}"
Capita Horrorscope,https://thegoodride.com/snowboard-reviews/capita-horrorscope-2017-2019-snowboard-review,Liked it!,Jib / Street,Beginner - Expert,"8-10, 10-12",Austria by The Mothership,True Twin,Flat to Rocker,Centered,Feels Normal,Poor,Average,Average,Average,Good,Great,Good,Great,Average,"['2017', '2019']",mens,d7Ns9BfzvsKaRA27wvay47wzQHU=,"{'d7Ns9BfzvsKaRA27wvay47wzQHU=': 0.0, 'LtRV2JvQV05gddMX6P5ROyov3N8=': 0.2222222222222222, 'fe1D67zhEzzx8QO1dJQTXFOCFKQ=': 0.2222222222222222, 'LzZkNqVEKkml85obPf0aGRzR7E0=': 0.3157894736842105, 'hENLDlugfX680aMndCTcOI9FMLo=': 0.3157894736842105, 'eMXV8eUwRif+G7uROIc1hj0FonE=': 0.3157894736842105, 'KCgTMJ4R97psnnvC0655zEREQg8=': 0.3157894736842105, 'n9qA0VUGS7UpcZo1iqJ25sTi0IE=': 0.3157894736842105, 'j6DkbuYnWDwEwDwQ2BeMHg2J4jw=': 0.3157894736842105, 'sP/Kb5AaTdRjbP9RgCf791Efia4=': 0.4}"
Capita  Indoor Survival,https://thegoodride.com/snowboard-reviews/capita-indoor-survival-2010-2018-snowboard-review,Pretty Good,All Mountain Freestyle,Intermediate - Expert,8-10,Austria,True Twin,Flat to Rocker,Centered,Feels Heavy,Average,Average,Average,Good,Great,Great,Average,Good,Average,"['2010', '2018']",mens,iTvTOEftH9jpok30FW7ujraY3ro=,"{'iTvTOEftH9jpok30FW7ujraY3ro=': 0.0, 'UG9POLHOQBLhZQBEFCDw3a8uhtk=': 0.4, 'fFczyzkgviWe5YRFFWSGnQN4h9w=': 0.4, 'SH3E1oQM/TEH3Igi7iKCWf1Yf0w=': 0.4, 'IatARIGEX0lhe9vNN6SrawCxyjU=': 0.4, 'LVjOY/cS93dg+0X5yGvu4411FMM=': 0.47619047619047616, 'sN1S5eubZ2i7z2pf19pSSsbFTV0=': 0.47619047619047616, 'DQ5Hyml7QgS1m6xu5rMrcA271kU=': 0.47619047619047616, 'O1bnxVvdhZCYgPtQQbIFFBnS22E=': 0.47619047619047616, 'sP/Kb5AaTdRjbP9RgCf791Efia4=': 0.5454545454545454}"
Capita Kazu Kokubo Pro,https://thegoodride.com/snowboard-reviews/capita-kazu-kokubo-pro-2017-2019-snowboard-review,Pretty Good,Freeride,Advanced - Expert,8-10,Austria,Tapered Directional,Directional Camber,Setback -12.5mm,Feels Normal,Good,Good,Good,Great,Good,Good,Good,Average,Good,"['2017', '2019']",mens,M+qx4fWPTwZn2wcfQAIRGO1kgsA=,"{'M+qx4fWPTwZn2wcfQAIRGO1kgsA=': 0.0, 'xBq6N9urznEE+USz0rtGTnrbGIA=': 0.3157894736842105, 'JmJLq+7Wgaq3HyP0lFS2v+27MV4=': 0.4, '8t7Fm24XUvvooubvCJuZWENHTX0=': 0.4, 'v7MzO/yCZENPkaRLY1ckR+SoHZw=': 0.4, 'rnAklWsA9vaWVCkwKn5F/mCTGWc=': 0.4, '48wLviZJAoTfr/rX/oBhWpxZVsU=': 0.4, 'VuPUoEvPEXJGzOaUtbvm/inbPOw=': 0.4, 'TGVPB1+XRfwBjLeXc6eSlENngvQ=': 0.4, 'a4gi+jxLxJBd005S1UNbEFlN3+o=': 0.4}"
Capita Mercury,https://thegoodride.com/snowboard-reviews/capita-mercury-2016-2019-snowboard-review,Loved it!,All Mountain,Intermediate - Expert,"8-10, 10-12",Austria at The Mothership,Directional,Hybrid Camber,Setback -12.5mm,Feels Normal,Good,Good,Good,Great,Good,Good,Good,Average,Great,"['2016', '2019']",mens,jpzWjT5q+RcT3B0k5+ixjWqrBSg=,"{'jpzWjT5q+RcT3B0k5+ixjWqrBSg=': 0.0, 'HNBrSGHI8ZXvwWJrtfqizuA4ko0=': 0.3157894736842105, '/v1bhOoHaEHIG/jCRDccW8Rw8iM=': 0.3157894736842105, 'VuPUoEvPEXJGzOaUtbvm/inbPOw=': 0.3157894736842105, 'CIHPCf9KDd9v0XpVsXsv+mlf1CE=': 0.3157894736842105, 'Mas2IhOZ2jOsVzMFlAjEsXdiv6M=': 0.4, 'I3sXCBPIZVbAglGAoc+h8LnuYnU=': 0.4, 'eRpl8gHjVdBBG4RwBi48VtaI3xI=': 0.4, 'M+qx4fWPTwZn2wcfQAIRGO1kgsA=': 0.47619047619047616, '8t7Fm24XUvvooubvCJuZWENHTX0=': 0.47619047619047616}"
Capita Navigator,https://thegoodride.com/snowboard-reviews/capita-navigator-2019-snowboard-review,Liked it!,Powder,Intermediate - Expert,"< 8, 8-10, 10-12",Austria by The Mothership,Tapered Directional,Flat to Rocker,Setback over 20mm,Feels Normal,Great,Good,Average,Good,Great,Average,Good,Average,Average,['2019'],mens,p/oB35cjQojH5BXkFW4XUBPaAw0=,"{'p/oB35cjQojH5BXkFW4XUBPaAw0=': 0.0, 'S8gropbuB7uQlQw/PrXyvWcTOJc=': 0.3157894736842105, 'j1n+9ptceG4aiYukdeJ6s5ZVubQ=': 0.3157894736842105, 'ly4SMvUll38oGbFwT+XlowGhIos=': 0.3157894736842105, '6U3D0vju3MOl8flpY0rS003oYLo=': 0.3157894736842105, 'Ne/pbNhyLxrv6tMf3Kv6WbePB1I=': 0.3157894736842105, '0DZitH72iIfMp02ihrZIE9i5490=': 0.3157894736842105, 'YwV3PMhQRx3mctHcIW1D6gEHol4=': 0.4, 'Lt7umCqb0nm8gS22Sh/VZvvl8iw=': 0.4, '9QWAN2IJuULXB1TJNQW3RDjVHB8=': 0.4}"
Capita Outerspace Living,https://thegoodride.com/snowboard-reviews/capita-outerspace-living-2017-2020-snowboard-review,Loved it!,All Mountain Freestyle,Beginner - Expert,"< 8, 8-10, 10-12",Austria by The Mothership,True Twin,Hybrid Camber,Centered,Feels Normal,Average,Good,Good,Average,Great,Great,Good,Good,Good,"['2017', '2020']",mens,QqkUxsaxwIlvqdyGKozMXQ5TfxI=,"{'QqkUxsaxwIlvqdyGKozMXQ5TfxI=': 0.0, 'O1bnxVvdhZCYgPtQQbIFFBnS22E=': 0.3157894736842105, 'QDg+4D6NLKH7YVEqwyCMg6e3+NU=': 0.3157894736842105, 'ABln8DhZ3EE+Guu8ogb64OZKaCE=': 0.3157894736842105, 'WbfLVWw13yXNux3FblbctWvEPpU=': 0.3157894736842105, 'iXQVgtzgYwua4DOoWcVodZmquqY=': 0.3157894736842105, 'sV0DgErsicZ3AWIPQz9JAHQ0Z4Y=': 0.3157894736842105, 'pcQjfBFdQmn6Aqep1PKrAJ8tpZY=': 0.4, 'wkj15b4D3T32z+H4qhSWTw4Eut0=': 0.4, 'n6MJn177Q2bksNDgCkrBJcOmmoA=': 0.4}"
Capita Outsiders,https://thegoodride.com/snowboard-reviews/capita-outsiders-2014-2020-snowboard-review,None,Freestyle,Advanced - Expert,8-10,Austria by The Mothership,True Twin,Mostly Camber,Centered,Feels Normal,Poor,Good,Good,Good,Great,Great,Great,Good,Good,"['2014', '2020']",mens,pB0UHGPK+dRTPNoAOMzGgFj7UIY=,"{'pB0UHGPK+dRTPNoAOMzGgFj7UIY=': 0.0, 'hPaL1qqJuHVXVgH25JpBW79JFT4=': 0.2222222222222222, 'CcE2NzaoovzTQMp7AoZiLpTqi2A=': 0.3157894736842105, 'LHvwYwK92Xu0IS670kZSpTsnGy0=': 0.3157894736842105, '4taFn8ocdLm7PVzowpCHaHL/E38=': 0.3157894736842105, 'hIrs+Maiz9H5wkluzPrlsIxNOTY=': 0.3157894736842105, 'eSN8SuBwBToijfjMiMOKj4skHGU=': 0.3157894736842105, 'C/Epov/2U7hWKhhrdla5nq9sga8=': 0.4, 'wwXpIuiN1tgnuE+mwlEUD0NlYaA=': 0.4, 'T9ncv3gSEGfjgt3BIVRIgB6SzN4=': 0.4}"
Capita Scott Stevens Pro,https://thegoodride.com/snowboard-reviews/capita-scott-stevens-pro-2015-2019-review,Loved it!,Jib / Street,Intermediate - Expert,8-10,Austria at The Mothership,True Twin,Flat to Rocker,Centered,Feels Light,Poor,Average,Average,Average,Good,Great,Average,Excellent,Average,"['2015', '2019']",mens,sP/Kb5AaTdRjbP9RgCf791Efia4=,"{'sP/Kb5AaTdRjbP9RgCf791Efia4=': 0.0, 'LzZkNqVEKkml85obPf0aGRzR7E0=': 0.11764705882352941, 'd7Ns9BfzvsKaRA27wvay47wzQHU=': 0.4, 'LtRV2JvQV05gddMX6P5ROyov3N8=': 0.4, 'fe1D67zhEzzx8QO1dJQTXFOCFKQ=': 0.4, 'eMXV8eUwRif+G7uROIc1hj0FonE=': 0.47619047619047616, 'n9qA0VUGS7UpcZo1iqJ25sTi0IE=': 0.47619047619047616, 'T3t/S7hZ/ZlXHDRtwEXuglaOfgQ=': 0.5454545454545454, 'iTvTOEftH9jpok30FW7ujraY3ro=': 0.5454545454545454, 'fpqy6y2wKLvApRXmfHLXNX5NjYY=': 0.5454545454545454}"
Capita Spring Break Powder 151 Mini Tree Hunter,https://thegoodride.com/snowboard-reviews/capita-spring-break-powder-151-mini-tree-hunter-snowboard-review,None,Powder,Intermediate - Expert,8-10,Austria by The Mothership,Tapered Directional,Flat to Rocker,Setback over 20mm,Feels Light,Great,Average,Average,Good,Good,Average,Good,Average,Average,[],mens,S8gropbuB7uQlQw/PrXyvWcTOJc=,"{'S8gropbuB7uQlQw/PrXyvWcTOJc=': 0.0, 'j1n+9ptceG4aiYukdeJ6s5ZVubQ=': 0.2222222222222222, 'Lt7umCqb0nm8gS22Sh/VZvvl8iw=': 0.3157894736842105, 'p/oB35cjQojH5BXkFW4XUBPaAw0=': 0.3157894736842105, '0GRpPy8z/Yo1BEO5BSvPAjdQyfU=': 0.4, 'ly4SMvUll38oGbFwT+XlowGhIos=': 0.4, '6U3D0vju3MOl8flpY0rS003oYLo=': 0.4, 'WiOTlon7CwEkLiNea/l2puYsxYI=': 0.47619047619047616, '9QWAN2IJuULXB1TJNQW3RDjVHB8=': 0.47619047619047616, 'BMxvz62+spBDKOwyGx+xQDGNty8=': 0.47619047619047616}"
Capita Spring Break Powder 161 Tree Hunter,https://thegoodride.com/snowboard-reviews/capita-spring-break-powder-161-tree-hunter-snowboard-review,None,Powder,Advanced - Expert,"8-10, 10-12",Austria,Tapered Directional,Flat to Rocker,Setback over 20mm,Feels Light,Excellent,Average,Poor,Good,Great,Average,Good,Poor,Poor,[],mens,Tk8N6im9OPdzDpSgyZcJXfKiJjE=,"{'Tk8N6im9OPdzDpSgyZcJXfKiJjE=': 0.0, '6hjMIVMXo/t6CjHHklCHwc3SHzs=': 0.4, 'WiOTlon7CwEkLiNea/l2puYsxYI=': 0.47619047619047616, 'j1n+9ptceG4aiYukdeJ6s5ZVubQ=': 0.47619047619047616, 'S8gropbuB7uQlQw/PrXyvWcTOJc=': 0.5454545454545454, 'ly4SMvUll38oGbFwT+XlowGhIos=': 0.5454545454545454, '6U3D0vju3MOl8flpY0rS003oYLo=': 0.5454545454545454, 'r8C3AMRLXs50com1K/xPo38yG0o=': 0.5454545454545454, '8tDZtdZdj8Gw4tykAjnfAGqKong=': 0.5909090909090909, '9QWAN2IJuULXB1TJNQW3RDjVHB8=': 0.6086956521739131}"
Capita Spring Break Powder 167 Night Hawk,https://thegoodride.com/snowboard-reviews/capita-spring-break-powder-167-night-hawk-snowboard-review,None,Powder,Advanced - Expert,"8-10, 10-12",Austria by The Mothership,Tapered Directional,Flat to Rocker,Setback over 20mm,Feels Normal,Excellent,Average,Average,Great,Average,Average,Good,Poor,Poor,[],mens,6hjMIVMXo/t6CjHHklCHwc3SHzs=,"{'6hjMIVMXo/t6CjHHklCHwc3SHzs=': 0.0, 'Tk8N6im9OPdzDpSgyZcJXfKiJjE=': 0.4, 'mzRpK7NNgBYZMx6EhSpe2bN8VsI=': 0.47619047619047616, 'g3s4TfE/USGgRtY7md2CaxqWy1M=': 0.47619047619047616, 'd8GYV999rNLEt1C+2JdIT3VHOoY=': 0.47619047619047616, 'KtQDYwnZNzICRIXu5reChknckmI=': 0.5238095238095238, 'Lt7umCqb0nm8gS22Sh/VZvvl8iw=': 0.5454545454545454, '/gsMBISgDYzQSL52c8TRoBbUT6Q=': 0.5454545454545454, '6U3D0vju3MOl8flpY0rS003oYLo=': 0.5454545454545454, '22Bg4mVNfFAH7TqPNuy85HvYhKk=': 0.5454545454545454}"
Capita Spring Break Powder Drifter 154,https://thegoodride.com/snowboard-reviews/capita-spring-break-powder-drifter-154-snowboard-review,None,Powder,Intermediate - Expert,8-10,Austria by The Mothership,Tapered Directional,Flat to Rocker,Setback over 20mm,Feels Light,Great,Average,Average,Good,Great,Average,Good,Good,Average,[],mens,j1n+9ptceG4aiYukdeJ6s5ZVubQ=,"{'j1n+9ptceG4aiYukdeJ6s5ZVubQ=': 0.0, 'S8gropbuB7uQlQw/PrXyvWcTOJc=': 0.2222222222222222, '6U3D0vju3MOl8flpY0rS003oYLo=': 0.2222222222222222, 'p/oB35cjQojH5BXkFW4XUBPaAw0=': 0.3157894736842105, 'WiOTlon7CwEkLiNea/l2puYsxYI=': 0.4, '9QWAN2IJuULXB1TJNQW3RDjVHB8=': 0.4, 'ly4SMvUll38oGbFwT+XlowGhIos=': 0.4, '6rZHSPiDIGQwy6EoL9US34GMZRI=': 0.4, 'YwV3PMhQRx3mctHcIW1D6gEHol4=': 0.47619047619047616, 'Lt7umCqb0nm8gS22Sh/VZvvl8iw=': 0.47619047619047616}"
Capita Spring Break Powder Glider,https://thegoodride.com/snowboard-reviews/capita-spring-break-powder-glider-snowboard-review,Loved it!,Powder,Intermediate - Expert,8-10,Austria at The Mothership,Tapered Directional,Flat to Rocker,Setback over 20mm,Feels Light,Excellent,Good,Average,Good,Great,Poor,Good,Average,Average,[],mens,ly4SMvUll38oGbFwT+XlowGhIos=,"{'ly4SMvUll38oGbFwT+XlowGhIos=': 0.0, 'p/oB35cjQojH5BXkFW4XUBPaAw0=': 0.3157894736842105, 'BMxvz62+spBDKOwyGx+xQDGNty8=': 0.3157894736842105, '0GRpPy8z/Yo1BEO5BSvPAjdQyfU=': 0.4, 'S8gropbuB7uQlQw/PrXyvWcTOJc=': 0.4, 'j1n+9ptceG4aiYukdeJ6s5ZVubQ=': 0.4, '0DZitH72iIfMp02ihrZIE9i5490=': 0.4, 'WiOTlon7CwEkLiNea/l2puYsxYI=': 0.47619047619047616, '9QWAN2IJuULXB1TJNQW3RDjVHB8=': 0.47619047619047616, 'vH+R6wAv0lMPpFMr5Z5xDjemTKI=': 0.47619047619047616}"
Capita Spring Break Powder Racer,https://thegoodride.com/snowboard-reviews/capita-spring-break-powder-racer-snowboard-review,None,Powder,Beginner - Expert,"8-10, 10-12",Austria by The Mothership,Tapered Directional,Flat to Rocker,Setback over 20mm,Feels Normal,Great,Average,Average,Good,Great,Average,Good,Good,Average,[],mens,6U3D0vju3MOl8flpY0rS003oYLo=,"{'6U3D0vju3MOl8flpY0rS003oYLo=': 0.0, 'j1n+9ptceG4aiYukdeJ6s5ZVubQ=': 0.2222222222222222, 'p/oB35cjQojH5BXkFW4XUBPaAw0=': 0.3157894736842105, '9QWAN2IJuULXB1TJNQW3RDjVHB8=': 0.4, 'S8gropbuB7uQlQw/PrXyvWcTOJc=': 0.4, '6rZHSPiDIGQwy6EoL9US34GMZRI=': 0.4, 'xGarud1QzhGT3iw/OWIzMRhKmu8=': 0.47619047619047616, 'YwV3PMhQRx3mctHcIW1D6gEHol4=': 0.47619047619047616, 'WiOTlon7CwEkLiNea/l2puYsxYI=': 0.47619047619047616, 'Lt7umCqb0nm8gS22Sh/VZvvl8iw=': 0.47619047619047616}"
Capita Spring Break Powder Twin,https://thegoodride.com/snowboard-reviews/capita-spring-break-powder-twin-2021-review,None,Powder,Advanced - Expert,"8-10, 10-12, > 12",Austria by The Mothership,True Twin,Hybrid Camber,Centered,Feels Heavy,Great,Good,Good,Great,Good,Great,Great,Average,Average,['2021'],mens,HgmpfNlI3puDjTh/DKC4Uf4rM2k=,"{'HgmpfNlI3puDjTh/DKC4Uf4rM2k=': 0.0, 'g7QUc9azHeq2J3A0UuYH9T4W28c=': 0.4, 'T9ncv3gSEGfjgt3BIVRIgB6SzN4=': 0.47619047619047616, 'pcQjfBFdQmn6Aqep1PKrAJ8tpZY=': 0.5454545454545454, 'M66mNaXWfUteWrRK+R7/ller6nU=': 0.5454545454545454, 'GjwGvtwtV7WDbtT0vzuew9PyNEs=': 0.5454545454545454, 'gTD2nkW7hFGijDQGpdUXVlm4bCA=': 0.5454545454545454, 'atoyJLdhGqK0UBZiXEZUye7FDKw=': 0.5454545454545454, '5fJ8dsqEZsXLLIEMfyjSngx1xNk=': 0.5454545454545454, 'Wp0XcBAntqDR6YAloQZGUmyPYxE=': 0.6086956521739131}"
