board_name,url,Overall Rating,Riding Style,Riding Level,Fits Boot size (US),Manufactured in,Shape,Camber Profile,Stance,Approx. Weight,Powder,Turning Experience,Carving,Speed,Uneven Terrain,Switch,Jumps,Jibbing,Pipe,year
Nitro Mystique,https://thegoodride.com/snowboard-reviews/nitro-mystique-women's-snowboard-review,Pretty Good,All Mountain Freestyle,Intermediate - Expert,Women's,None,Directional Twin,Hybrid Rocker,Setback -15mm,Feels Normal,Good,Good,Good,Good,Great,Good,Great,Good,Average,[]
Nitro Spell,https://thegoodride.com/snowboard-reviews/nitro-spell-2017-snowboard-review,Liked it!,Freestyle,Beginner - Expert,Women's,None,True Twin,Flat to Rocker,Centered,Feels Normal,Average,Average,Average,Average,Good,Great,Good,Great,Average,['2017']
Ride Hellcat,https://thegoodride.com/snowboard-reviews/ride-hellcat-2014-2019-snowboard-review,Loved it!,Freeride,Advanced - Expert,Women's,China,Tapered Directional,Directional Camber,Setback -20mm,Feels Normal,Good,Great,Great,Great,Good,Average,Good,Average,Good,"['2014', '2019']"
Ride OMG,https://thegoodride.com/snowboard-reviews/ride-omg-2012-2018-snowboard-review,Pretty Good,All Mountain Freestyle,Intermediate - Expert,Women's,China,Asymmetrical Twin,Hybrid Camber,Centered,Feels Normal,Average,Average,Good,Good,Good,Great,Great,Good,Good,"['2012', '2018']"
Ride Psychocandy,https://thegoodride.com/snowboard-reviews/ride-psychocandy-2020-snowboard-review,Pretty Good,Alternative Freeride,Advanced - Expert,"Women's, 8-10, 10-12, > 12",None,Tapered Directional,Flat to Rocker,Setback -20mm,Feels Normal,Great,Good,Great,Great,Good,Average,Average,Poor,Good,['2020']
Ride Saturday,https://thegoodride.com/snowboard-reviews/ride-saturday-2018-2019-snowboard-review,It´s OK,All Mountain Freestyle,Intermediate - Expert,Women's,China,True Twin,Hybrid Camber,Centered,Feels Heavy,Average,Average,Good,Great,Great,Great,Good,Average,Good,"['2018', '2019']"
Ride Warpig,https://thegoodride.com/snowboard-reviews/ride-warpig-2020-womens-snowboard-review,Liked it!,Alternative Freeride,Intermediate - Expert,"Women's, 8-10, 10-12",China,Tapered Directional,Flat to Rocker,Centered,Feels Normal,Good,Good,Good,Average,Great,Average,Average,Average,Average,['2020']
Rome Winterland,https://thegoodride.com/snowboard-reviews/rome-winterland-2017-snowboard-review,Liked it!,Freeride,Advanced - Expert,Women's,Canada,Tapered Directional,Mostly Camber,Setback -20mm,Feels Light,Good,Great,Great,Great,Good,Average,Average,Poor,Average,['2017']
Rossignol After Hours,https://thegoodride.com/snowboard-reviews/rossignol-after-hours-2021-snowboard-review,Liked it!,All Mountain,Intermediate - Expert,"Women's, < 8, 8-10",Taiwan or China,Directional Twin,Hybrid Camber,Setback -10mm,Feels Light,Great,Great,Great,Great,Great,Good,Good,Poor,Good,['2021']
Rossignol Diva,https://thegoodride.com/snowboard-reviews/rossignol-diva-2010-2018-snowboard-review,Loved it!,All Mountain Freestyle,Advanced - Expert,Women's,Taiwan or China,Directional Twin,Hybrid Camber,Centered,Feels Normal,Average,Great,Good,Great,Good,Great,Good,Average,Excellent,"['2010', '2018']"
Rossignol Frenemy,https://thegoodride.com/snowboard-reviews/rossignol-frenemy-2013-2019-snowboard-review,Loved it!,All Mountain,Beginner - Intermediate,Women's,Taiwan or China,Twinish,Hybrid Camber,Setback -20mm,Feels Normal,Good,Good,Average,Good,Great,Good,Average,Good,Good,"['2013', '2019']"
Rossignol  Gala,https://thegoodride.com/snowboard-reviews/rossignol-gala-2013-2019-snowboard-review,Pretty Good,All Mountain,Beginner - Intermediate,Women's,Taiwan or China,Directional Twin,Hybrid Camber,Setback -15mm,Feels Normal,Good,Average,Average,Average,Great,Good,Good,Good,Good,"['2013', '2019']"
Rossignol Justice,https://thegoodride.com/snowboard-reviews/rossignol-justice-review-and-buying-advice,Pretty Good,All Mountain Freestyle,Intermediate - Expert,Women's,Taiwan or China,Directional Twin,Hybrid Camber,Setback -10mm,Feels Normal,Good,Average,Good,Good,Great,Good,Good,Good,Good,[]
Rossignol Meraki,https://thegoodride.com/snowboard-reviews/rossignol-meraki-2020-snowboard-review,Liked it!,Freestyle,Beginner - Intermediate,"Women's, 8-10",None,True Twin,Hybrid Camber,Centered,Feels Normal,Good,Average,Average,Average,Good,Great,Good,Great,Average,['2020']
Rossignol  Myth,https://thegoodride.com/snowboard-reviews/rossignol-myth-2013-2019-snowboard-review,It´s OK,Freestyle,Beginner - Advanced,Women's,Taiwan or China,True Twin,Hybrid Camber,Centered,Feels Heavy,Average,Average,Average,Average,Great,Great,Good,Good,Average,"['2013', '2019']"
Salomon Bellevue,https://thegoodride.com/snowboard-reviews/salomon-bellevue-2020-snowboard-review,Liked it!,Freeride,Advanced - Expert,"Women's, 8-10, 10-12",None,Tapered Directional,Hybrid Camber,Setback -20mm,Feels Light,Great,Great,Great,Great,Good,Average,Average,Poor,Average,['2020']
Salomon  Gypsy,https://thegoodride.com/snowboard-reviews/salomon-gypsy-2010-2019-snowboard-review,Liked it!,All Mountain Freestyle,Beginner - Expert,Women's,None,True Twin,Hybrid Camber,Centered,Feels Normal,Average,Good,Good,Good,Average,Great,Great,Good,Great,"['2010', '2019']"
Salomon Pillow Talk,https://thegoodride.com/snowboard-reviews/salomon-pillow-talk-2020-snowboard-review,Liked it!,Powder,Intermediate - Advanced,"Women's, 8-10, 10-12",None,Tapered Directional,Hybrid Camber,Centered,Feels Normal,Great,Great,Great,Great,Good,Average,Average,Poor,Average,['2020']
Salomon Rumble Fish,https://thegoodride.com/snowboard-reviews/salomon-rumble-fish-snowboard-review-2020,Liked it!,All Mountain Freestyle,Intermediate - Expert,Women's,None,True Twin,Hybrid Camber,Centered,Feels Normal,Average,Great,Good,Good,Great,Great,Great,Good,Great,['2020']
Salomon Wonder,https://thegoodride.com/snowboard-reviews/salomon-wonder-2020-snowboard-review,Loved it!,All Mountain,Intermediate - Expert,Women's,None,Directional Twin,Hybrid Camber,Setback -10mm,Feels Normal,Average,Good,Great,Good,Average,Good,Great,Average,Great,['2020']
Sims SoFun,https://thegoodride.com/snowboard-reviews/sims-sofun-2017-snowboard-review,None,All Mountain Freestyle,Intermediate - Expert,Women's,USA by Never Summer,True Twin,Hybrid Camber,Centered,Feels Normal,Average,,Good,Good,Good,Great,Good,Good,Great,['2017']
Soul Girl Powder,https://thegoodride.com/snowboard-reviews/soul-girl-powder-womens-snowboard-review,Liked it!,Alternative Freeride,Intermediate - Expert,"Women's, 8-10",None,Tapered Directional,Directional Camber,Setback over 20mm,Feels Normal,Excellent,Great,Excellent,Great,Good,Poor,Good,Poor,Good,[]
Soul Womens Pitch Wing,https://thegoodride.com/snowboard-reviews/soul-womens-pitch-wing-2020-snowboard-review,Liked it!,Alternative Freeride,Advanced - Expert,"Women's, 8-10",None,Tapered Directional,Traditional Camber,Setback over 20mm,Feels Normal,Good,Excellent,Excellent,Great,Good,Poor,Good,Poor,Great,['2020']
Tribe Wild Thing,https://thegoodride.com/snowboard-reviews/tribe-wild-thing-2017-snowboard-review,Liked it!,All Mountain Freestyle,Advanced - Expert,Women's,None,True Twin,Traditional Camber,Centered,Feels Normal,Poor,Good,Good,Good,Great,Great,Great,Good,Great,['2017']
Venture Oracle,https://thegoodride.com/snowboard-reviews/venture-oracle-2018-snowboard-review,Liked it!,All Mountain,Intermediate - Expert,Women's,USA by Venture,Tapered Directional,Flat to Rocker,Setback -20mm,Feels Normal,Good,Good,Good,Good,Great,Good,Good,Average,Good,['2018']
Venture Tempest,https://thegoodride.com/snowboard-reviews/venture-tempest-2018-snowboard-review,Liked it!,Freeride,Intermediate - Expert,Women's,USA by Venture,Tapered Directional,Flat to Rocker,Setback over 20mm,Feels Heavy,Excellent,Good,Average,Great,Great,Average,Average,Poor,Average,['2018']
Weston Eclipse,https://thegoodride.com/snowboard-reviews/weston-eclipse-2021-snowboard-review,Liked it!,Alternative Freeride,Intermediate - Expert,"Women's, 8-10, 10-12",China,Tapered Directional,Hybrid Camber,Setback -10mm,Feels Normal,Great,Great,Great,Great,Good,Average,Good,Poor,Good,['2021']
Weston Rise,https://thegoodride.com/snowboard-reviews/weston-rise-2020-snowboard-review,Liked it!,All Mountain Freestyle,Intermediate - Advanced,"Women's, 8-10, 10-12",None,Directional Twin,Hybrid Camber,Setback -20mm,Feels Normal,Great,Good,Good,Good,Great,Good,Great,Average,Good,['2020']
Weston Riva,https://thegoodride.com/snowboard-reviews/weston-riva-2021-snowboard-review,Liked it!,Freeride,Intermediate - Advanced,"Women's, 8-10, 10-12",None,Tapered Directional,Hybrid Camber,Setback over 20mm,Feels Normal,Great,Great,Good,Great,Good,Average,Average,Poor,Average,['2021']
Weston Spruce,https://thegoodride.com/snowboard-reviews/weston-spruce-2021-snowboard-review,Liked it!,All Mountain Freestyle,Beginner - Advanced,"Women's, 8-10, 10-12",China,True Twin,Hybrid Rocker,Centered,Feels Normal,Good,Good,Good,Good,Great,Great,Great,Good,Good,['2021']
Yes 420 Womens,https://thegoodride.com/snowboard-reviews/yes-420-womens-2021-snowboard-review,Loved it!,Powder,Intermediate - Expert,"Women's, 8-10, 10-12, > 12",Dubai by SWS,Tapered Directional,Hybrid Camber,Setback -15mm,Feels Light,Great,Great,Average,Good,Good,Average,Average,Average,Average,['2021']
YES Emoticon,https://thegoodride.com/snowboard-reviews/yes-emoticon-2015-2021-snowboard-review,Loved it!,All Mountain Freestyle,Beginner - Expert,Women's,Dubai by SWS,True Twin,Hybrid Camber,Centered,Feels Normal,Average,Good,Good,Good,Great,Great,Great,Good,Great,"['2015', '2021']"
YES Hel Yes,https://thegoodride.com/snowboard-reviews/yes-hel-yes-2014-2021-snowboard-review,Loved it!,All Mountain,Advanced - Expert,Women's,Dubai by SWS,Directional,Hybrid Camber,Setback -10mm,Feels Normal,Good,Great,Great,Great,Good,Good,Great,Average,Great,"['2014', '2021']"
Yes Hello,https://thegoodride.com/snowboard-reviews/yes-hello-2021-snowboard-review,Liked it!,All Mountain,Intermediate - Expert,"Women's, 8-10",Dubai by SWS,Directional Twin,Hybrid Camber,Setback -10mm,Feels Normal,Good,Good,Good,Good,Good,Great,Good,Average,Good,['2021']
